Date,Adj_Close,Close,High,Low,Open,Volume
31-01-1997,2.164732456,5.53125,5.609375,5.53125,5.59375,3494400
03-02-1997,2.170847178,5.546875,5.5625,5.46875,5.53125,4430400
04-02-1997,2.152501822,5.5,5.546875,5.5,5.546875,2095200
05-02-1997,2.189192533,5.59375,5.609375,5.515625,5.515625,8072800
06-02-1997,2.176962614,5.5625,5.609375,5.515625,5.578125,3455200
07-02-1997,2.189192533,5.59375,5.640625,5.53125,5.609375,2380000
10-02-1997,2.225883007,5.6875,5.6875,5.609375,5.609375,3336000
11-02-1997,2.213652372,5.65625,5.71875,5.640625,5.6875,2338400
12-02-1997,2.244227171,5.734375,5.734375,5.65625,5.671875,1493600
13-02-1997,2.244227171,5.734375,5.765625,5.703125,5.734375,2031200
14-02-1997,2.213652372,5.65625,5.75,5.625,5.75,3060000
18-02-1997,2.262573242,5.78125,5.78125,5.671875,5.71875,3415200
19-02-1997,2.244227171,5.734375,5.796875,5.71875,5.78125,2365600
20-02-1997,2.23811245,5.71875,5.765625,5.6875,5.71875,2129600
21-02-1997,2.231997013,5.703125,5.71875,5.671875,5.703125,1571200
24-02-1997,2.250343323,5.75,5.765625,5.6875,5.71875,2388800
25-02-1997,2.256457567,5.765625,5.8125,5.75,5.765625,15936000
26-02-1997,2.224573612,5.625,5.734375,5.59375,5.703125,12389600
27-02-1997,2.218392611,5.609375,5.625,5.59375,5.625,2134400
28-02-1997,2.249290466,5.6875,5.703125,5.578125,5.578125,3380800
03-03-1997,2.274006605,5.75,5.75,5.640625,5.640625,4014400
04-03-1997,2.243111134,5.671875,5.734375,5.671875,5.71875,3060000
05-03-1997,2.26164937,5.71875,5.71875,5.640625,5.640625,2828000
06-03-1997,2.224573612,5.625,5.734375,5.609375,5.734375,2509600
07-03-1997,2.243111134,5.671875,5.703125,5.625,5.65625,2668800
10-03-1997,2.249290466,5.6875,5.703125,5.640625,5.6875,3265600
11-03-1997,2.224573612,5.625,5.703125,5.625,5.6875,2900000
12-03-1997,2.212215185,5.59375,5.625,5.578125,5.625,2394400
13-03-1997,2.193675995,5.546875,5.578125,5.53125,5.5625,2568000
14-03-1997,2.193675995,5.546875,5.609375,5.546875,5.578125,1896800
17-03-1997,2.218392611,5.609375,5.625,5.515625,5.515625,2278400
18-03-1997,2.212215185,5.59375,5.671875,5.578125,5.640625,2087200
19-03-1997,2.218392611,5.609375,5.640625,5.5625,5.59375,2085600
20-03-1997,2.218392611,5.609375,5.640625,5.578125,5.578125,1848000
21-03-1997,2.206034899,5.578125,5.625,5.578125,5.609375,2852000
24-03-1997,2.236931086,5.65625,5.65625,5.59375,5.59375,2359200
25-03-1997,2.23075223,5.640625,5.71875,5.578125,5.671875,3112000
26-03-1997,2.206034899,5.578125,5.671875,5.578125,5.671875,2474400
27-03-1997,2.187496185,5.53125,5.59375,5.46875,5.59375,2619200
